Time,SCG,,
1.35E-02,-0.12953,,
2.70E-02,8.39E-02,,
4.05E-02,-9.49E-02,,
5.40E-02,2.02E-02,,
6.75E-02,3.43E-02,,
8.10E-02,-5.76E-03,,
9.45E-02,2.23E-02,,
0.108,8.16E-03,,
0.1215,3.28E-02,,
0.135,1.97E-02,,
0.1485,1.24E-02,,
0.162,5.82E-03,,
0.1755,-2.14E-03,,
0.189,2.90E-04,,
0.2025,-3.77E-03,,
0.216,-1.31E-03,,
0.2295,1.61E-03,,
0.243,-7.20E-04,,
0.2565,-1.92E-03,,
0.27,-2.33E-04,,
0.2835,5.16E-03,,
0.297,9.02E-03,,
0.3105,1.35E-02,,
0.324,1.30E-02,,
0.3375,8.90E-03,,
0.351,6.90E-03,,
0.3645,-9.60E-03,,
0.378,-3.61E-03,,
0.3915,-1.14E-02,,
0.405,2.99E-05,,
0.4185,-4.08E-03,,
0.432,1.63E-02,,
0.4455,6.89E-03,,
0.459,6.88E-03,,
0.4725,-1.97E-03,,
0.486,-1.44E-03,,
0.4995,-1.13E-02,,
0.513,-8.12E-03,,
0.5265,-1.43E-02,,
0.54,-1.08E-02,,
0.5535,-5.74E-03,,
0.567,-4.09E-03,,
0.5805,-6.09E-03,,
0.594,-3.48E-03,,
0.6075,-6.73E-04,,
0.621,8.41E-04,,
0.6345,4.36E-03,,
0.648,6.57E-03,,
0.6615,6.38E-03,,
0.675,3.66E-03,,
0.6885,5.18E-04,,
0.702,7.51E-04,,
0.7155,-2.91E-03,,
0.729,-9.77E-04,,
0.7425,5.08E-03,,
0.756,-8.14E-03,,
0.7695,-2.09E-02,,
0.783,-2.21E-02,,
0.7965,-1.89E-02,,
0.81,4.91E-02,,
0.8235,-0.11393,,
0.837,6.78E-02,,
0.8505,-8.59E-02,,
0.864,1.60E-02,,
0.8775,3.61E-02,,
0.891,-6.51E-03,,
0.9045,2.25E-02,,
0.918,8.29E-03,,
0.9315,3.25E-02,,
0.945,2.01E-02,,
0.9585,1.23E-02,,
0.972,5.99E-03,,
0.9855,-2.35E-03,,
0.999,3.03E-04,,
1.0125,-3.84E-03,,
1.026,-1.24E-03,,
1.0395,1.56E-03,,
1.053,-4.92E-04,,
1.0665,-2.29E-03,,
1.08,7.30E-05,,
1.0935,4.91E-03,,
1.107,9.16E-03,,
1.1205,1.34E-02,,
1.134,1.31E-02,,
1.1475,8.91E-03,,
1.161,6.69E-03,,
1.1745,-9.42E-03,,
1.188,-3.71E-03,,
1.2015,-1.14E-02,,
1.215,1.14E-05,,
1.2285,-4.07E-03,,
1.242,1.63E-02,,
1.2555,6.89E-03,,
1.269,6.88E-03,,
1.2825,-1.97E-03,,
1.296,-1.44E-03,,
1.3095,-1.13E-02,,
1.323,-8.12E-03,,
1.3365,-1.43E-02,,
1.35,-1.08E-02,,
1.3635,-5.74E-03,,
1.377,-4.09E-03,,
1.3905,-6.09E-03,,
1.404,-3.48E-03,,
1.4175,-6.73E-04,,
1.431,8.41E-04,,
1.4445,4.36E-03,,
1.458,6.57E-03,,
1.4715,6.38E-03,,
1.485,3.66E-03,,
1.4985,5.18E-04,,
1.512,7.51E-04,,
1.5255,-2.91E-03,,
1.539,-9.77E-04,,
1.5525,5.08E-03,,
1.566,-8.14E-03,,
1.5795,-2.09E-02,,
1.593,-2.21E-02,,
1.6065,-1.89E-02,,
1.62,4.91E-02,,
1.6335,-0.11393,,
1.647,6.78E-02,,
1.6605,-8.59E-02,,
1.674,1.60E-02,,
1.6875,3.61E-02,,
1.701,-6.51E-03,,
1.7145,2.25E-02,,
1.728,8.29E-03,,
1.7415,3.25E-02,,
1.755,2.01E-02,,
1.7685,1.23E-02,,
1.782,5.99E-03,,
1.7955,-2.35E-03,,
1.809,3.03E-04,,
1.8225,-3.84E-03,,
1.836,-1.24E-03,,
1.8495,1.56E-03,,
1.863,-4.93E-04,,
1.8765,-2.28E-03,,
1.89,6.52E-05,,
1.9035,4.91E-03,,
1.917,9.16E-03,,
1.9305,1.34E-02,,
1.944,1.31E-02,,
1.9575,8.91E-03,,
1.971,6.69E-03,,
1.9845,-9.42E-03,,
1.998,-3.71E-03,,
2.0115,-1.14E-02,,
2.025,1.14E-05,,
2.0385,-4.07E-03,,
2.052,1.63E-02,,
2.0655,6.89E-03,,
2.079,6.88E-03,,
2.0925,-1.97E-03,,
2.106,-1.44E-03,,
2.1195,-1.13E-02,,
2.133,-8.12E-03,,
2.1465,-1.43E-02,,
2.16,-1.08E-02,,
2.1735,-5.74E-03,,
2.187,-4.09E-03,,
2.2005,-6.09E-03,,
2.214,-3.48E-03,,
2.2275,-6.73E-04,,
2.241,8.41E-04,,
2.2545,4.36E-03,,
2.268,6.57E-03,,
2.2815,6.38E-03,,
2.295,3.66E-03,,
2.3085,5.18E-04,,
2.322,7.51E-04,,
2.3355,-2.91E-03,,
2.349,-9.77E-04,,
2.3625,5.08E-03,,
2.376,-8.14E-03,,
2.3895,-2.09E-02,,
2.403,-2.21E-02,,
2.4165,-1.89E-02,,
2.43,4.91E-02,,
2.4435,-0.11393,,
2.457,6.78E-02,,
2.4705,-8.59E-02,,
2.484,1.60E-02,,
2.4975,3.61E-02,,
2.511,-6.51E-03,,
2.5245,2.25E-02,,
2.538,8.29E-03,,
2.5515,3.25E-02,,
2.565,2.01E-02,,
2.5785,1.23E-02,,
2.592,5.99E-03,,
2.6055,-2.35E-03,,
2.619,3.03E-04,,
2.6325,-3.84E-03,,
2.646,-1.24E-03,,
2.6595,1.56E-03,,
2.673,-4.92E-04,,
2.6865,-2.28E-03,,
2.7,7.25E-05,,
2.7135,4.91E-03,,
2.727,9.16E-03,,
2.7405,1.34E-02,,
2.754,1.31E-02,,
2.7675,8.91E-03,,
2.781,6.69E-03,,
2.7945,-9.42E-03,,
2.808,-3.71E-03,,
2.8215,-1.14E-02,,
2.835,1.14E-05,,
2.8485,-4.07E-03,,
2.862,1.63E-02,,
2.8755,6.89E-03,,
2.889,6.88E-03,,
2.9025,-1.97E-03,,
2.916,-1.44E-03,,
2.9295,-1.13E-02,,
2.943,-8.13E-03,,
2.9565,-1.43E-02,,
2.97,-1.08E-02,,
2.9835,-5.74E-03,,
2.997,-4.09E-03,,
3.0105,-6.09E-03,,
3.024,-3.48E-03,,
3.0375,-6.73E-04,,
3.051,8.41E-04,,
3.0645,4.36E-03,,
3.078,6.57E-03,,
3.0915,6.38E-03,,
3.105,3.66E-03,,
3.1185,5.18E-04,,
3.132,7.51E-04,,
3.1455,-2.91E-03,,
3.159,-9.77E-04,,
3.1725,5.08E-03,,
3.186,-8.14E-03,,
3.1995,-2.09E-02,,
3.213,-2.21E-02,,
3.2265,-1.89E-02,,
3.24,4.91E-02,,
3.2535,-0.11393,,
3.267,6.78E-02,,
3.2805,-8.59E-02,,
3.294,1.60E-02,,
3.3075,3.61E-02,,
3.321,-6.51E-03,,
3.3345,2.25E-02,,
3.348,8.29E-03,,
3.3615,3.25E-02,,
3.375,2.01E-02,,
3.3885,1.23E-02,,
3.402,5.99E-03,,
3.4155,-2.35E-03,,
3.429,3.03E-04,,
3.4425,-3.84E-03,,
3.456,-1.24E-03,,
3.4695,1.56E-03,,
3.483,-4.92E-04,,
3.4965,-2.29E-03,,
3.51,7.30E-05,,
3.5235,4.91E-03,,
3.537,9.16E-03,,
3.5505,1.34E-02,,
3.564,1.31E-02,,
3.5775,8.91E-03,,
3.591,6.69E-03,,
3.6045,-9.42E-03,,
3.618,-3.71E-03,,
3.6315,-1.14E-02,,
3.645,1.14E-05,,
3.6585,-4.07E-03,,
3.672,1.63E-02,,
3.6855,6.89E-03,,
3.699,6.88E-03,,
3.7125,-1.97E-03,,
3.726,-1.44E-03,,
3.7395,-1.13E-02,,
3.753,-8.13E-03,,
3.7665,-1.43E-02,,
3.78,-1.08E-02,,
3.7935,-5.74E-03,,
3.807,-4.09E-03,,
3.8205,-6.09E-03,,
3.834,-3.48E-03,,
3.8475,-6.73E-04,,
3.861,8.41E-04,,
3.8745,4.36E-03,,
3.888,6.57E-03,,
3.9015,6.38E-03,,
3.915,3.66E-03,,
3.9285,5.18E-04,,
3.942,7.51E-04,,
3.9555,-2.91E-03,,
3.969,-9.77E-04,,
3.9825,5.08E-03,,
3.996,-8.14E-03,,
4.0095,-2.09E-02,,
4.023,-2.21E-02,,
,,,
