Time_s_,Min ,Max,Average
1.35E-02,-1.48E-05,-1.35E-05,-1.42E-05
2.70E-02,-2.99E-05,-2.67E-05,-2.84E-05
4.05E-02,-5.20E-05,-4.47E-05,-4.82E-05
5.40E-02,-7.86E-05,-6.55E-05,-7.14E-05
6.75E-02,-1.01E-04,-8.26E-05,-9.06E-05
8.10E-02,-1.20E-04,-9.86E-05,-1.08E-04
9.45E-02,-1.37E-04,-1.13E-04,-1.23E-04
0.108,-1.50E-04,-1.24E-04,-1.36E-04
0.1215,-1.59E-04,-1.32E-04,-1.44E-04
0.135,-1.63E-04,-1.36E-04,-1.48E-04
0.1485,-1.64E-04,-1.37E-04,-1.49E-04
0.162,-1.62E-04,-1.36E-04,-1.48E-04
0.1755,-1.60E-04,-1.35E-04,-1.46E-04
0.189,-1.58E-04,-1.34E-04,-1.45E-04
0.2025,-1.56E-04,-1.34E-04,-1.44E-04
0.216,-1.55E-04,-1.34E-04,-1.44E-04
0.2295,-1.54E-04,-1.33E-04,-1.43E-04
0.243,-1.54E-04,-1.33E-04,-1.43E-04
0.2565,-1.53E-04,-1.32E-04,-1.43E-04
0.27,-1.53E-04,-1.32E-04,-1.42E-04
0.2835,-1.52E-04,-1.31E-04,-1.41E-04
0.297,-1.50E-04,-1.29E-04,-1.39E-04
0.3105,-1.46E-04,-1.24E-04,-1.34E-04
0.324,-1.39E-04,-1.17E-04,-1.27E-04
0.3375,-1.29E-04,-1.08E-04,-1.17E-04
0.351,-1.19E-04,-9.69E-05,-1.06E-04
0.3645,-1.08E-04,-8.66E-05,-9.55E-05
0.378,-9.92E-05,-7.73E-05,-8.60E-05
0.3915,-9.19E-05,-6.97E-05,-7.84E-05
0.405,-8.58E-05,-6.32E-05,-7.19E-05
0.4185,-8.00E-05,-5.75E-05,-6.62E-05
0.432,-7.25E-05,-5.07E-05,-5.91E-05
0.4455,-6.31E-05,-4.21E-05,-5.02E-05
0.459,-5.24E-05,-3.24E-05,-4.02E-05
0.4725,-4.13E-05,-2.22E-05,-2.97E-05
0.486,-3.05E-05,-1.19E-05,-1.94E-05
0.4995,-2.08E-05,-3.25E-06,-1.03E-05
0.513,-1.23E-05,3.14E-06,-3.12E-06
0.5265,-5.43E-06,6.70E-06,1.70E-06
0.54,-6.63E-07,7.92E-06,4.19E-06
0.5535,1.82E-06,8.18E-06,5.31E-06
