Time,Disp(external),,Time1,Disp1(external)
1.35E-02,-4.54E-04,,1.35E-02,-9.32E-06
2.70E-02,-7.74E-04,,2.70E-02,-1.71E-05
4.05E-02,-1.15E-03,,4.05E-02,-2.60E-05
5.40E-02,-1.60E-03,,5.40E-02,-3.54E-05
6.75E-02,-2.02E-03,,6.75E-02,-4.38E-05
8.10E-02,-2.48E-03,,8.10E-02,-5.18E-05
9.45E-02,-2.95E-03,,9.45E-02,-5.95E-05
0.108,-3.44E-03,,0.108,-6.66E-05
0.1215,-3.86E-03,,0.1215,-7.17E-05
0.135,-4.20E-03,,0.135,-7.48E-05
0.1485,-4.42E-03,,0.1485,-7.63E-05
0.162,-4.57E-03,,0.162,-7.71E-05
0.1755,-4.69E-03,,0.1755,-7.78E-05
0.189,-4.81E-03,,0.189,-7.85E-05
0.2025,-4.94E-03,,0.2025,-7.92E-05
0.216,-5.06E-03,,0.216,-7.99E-05
0.2295,-5.17E-03,,0.2295,-8.01E-05
0.243,-5.24E-03,,0.243,-8.01E-05
0.2565,-5.30E-03,,0.2565,-7.99E-05
0.27,-5.33E-03,,0.27,-7.96E-05
0.2835,-5.33E-03,,0.2835,-7.91E-05
0.297,-5.30E-03,,0.297,-7.80E-05
0.3105,-5.20E-03,,0.3105,-7.59E-05
0.324,-5.02E-03,,0.324,-7.25E-05
0.3375,-4.75E-03,,0.3375,-6.78E-05
0.351,-4.39E-03,,0.351,-6.20E-05
0.3645,-4.02E-03,,0.3645,-5.65E-05
0.378,-3.66E-03,,0.378,-5.15E-05
0.3915,-3.32E-03,,0.3915,-4.71E-05
0.405,-2.99E-03,,0.405,-4.25E-05
0.4185,-2.64E-03,,0.4185,-3.80E-05
0.432,-2.25E-03,,0.432,-3.27E-05
0.4455,-1.83E-03,,0.4455,-2.56E-05
0.459,-1.33E-03,,0.459,-1.70E-05
0.4725,-8.07E-04,,0.4725,-7.93E-06
0.486,-2.83E-04,,0.486,4.47E-07
0.4995,1.08E-04,,0.4995,6.95E-06
0.513,3.44E-04,,0.513,1.10E-05
0.5265,4.27E-04,,0.5265,1.26E-05
0.54,3.77E-04,,0.54,1.23E-05
0.5535,2.55E-04,,0.5535,1.09E-05
0.567,1.15E-04,,0.567,9.05E-06
0.5805,-5.81E-06,,0.5805,7.12E-06
0.594,-1.00E-04,,0.594,5.34E-06
0.6075,-1.83E-04,,0.6075,3.77E-06
0.621,-2.61E-04,,0.621,2.35E-06
0.6345,-3.21E-04,,0.6345,1.28E-06
0.648,-3.50E-04,,0.648,8.76E-07
0.6615,-3.35E-04,,0.6615,1.37E-06
0.675,-2.65E-04,,0.675,2.73E-06
0.6885,-1.34E-04,,0.6885,4.72E-06
0.702,4.57E-05,,0.702,7.14E-06
0.7155,2.37E-04,,0.7155,9.67E-06
0.729,4.25E-04,,0.729,1.21E-05
0.7425,5.98E-04,,0.7425,1.47E-05
0.756,7.15E-04,,0.756,1.63E-05
0.7695,6.93E-04,,0.7695,1.56E-05
0.783,5.00E-04,,0.783,1.17E-05
0.7965,1.57E-04,,0.7965,5.02E-06
0.81,9.04E-18,,0.81,-3.81E-07
0.8235,-4.54E-04,,0.8235,-9.69E-06
0.837,-7.74E-04,,0.837,-1.74E-05
0.8505,-1.15E-03,,0.8505,-2.64E-05
0.864,-1.60E-03,,0.864,-3.58E-05
0.8775,-2.02E-03,,0.8775,-4.41E-05
0.891,-2.48E-03,,0.891,-5.22E-05
0.9045,-2.95E-03,,0.9045,-5.99E-05
0.918,-3.44E-03,,0.918,-6.69E-05
0.9315,-3.86E-03,,0.9315,-7.20E-05
0.945,-4.20E-03,,0.945,-7.50E-05
0.9585,-4.42E-03,,0.9585,-7.65E-05
0.972,-4.57E-03,,0.972,-7.72E-05
0.9855,-4.69E-03,,0.9855,-7.79E-05
0.999,-4.81E-03,,0.999,-7.86E-05
1.0125,-4.94E-03,,1.0125,-7.93E-05
1.026,-5.06E-03,,1.026,-8.00E-05
1.0395,-5.17E-03,,1.0395,-8.02E-05
1.053,-5.24E-03,,1.053,-8.01E-05
1.0665,-5.30E-03,,1.0665,-7.99E-05
1.08,-5.33E-03,,1.08,-7.96E-05
1.0935,-5.33E-03,,1.0935,-7.91E-05
1.107,-5.30E-03,,1.107,-7.80E-05
1.1205,-5.20E-03,,1.1205,-7.59E-05
1.134,-5.02E-03,,1.134,-7.25E-05
1.1475,-4.75E-03,,1.1475,-6.78E-05
1.161,-4.39E-03,,1.161,-6.20E-05
1.1745,-4.02E-03,,1.1745,-5.65E-05
1.188,-3.66E-03,,1.188,-5.15E-05
1.2015,-3.32E-03,,1.2015,-4.71E-05
1.215,-2.99E-03,,1.215,-4.25E-05
1.2285,-2.64E-03,,1.2285,-3.80E-05
1.242,-2.25E-03,,1.242,-3.27E-05
1.2555,-1.83E-03,,1.2555,-2.56E-05
1.269,-1.33E-03,,1.269,-1.70E-05
1.2825,-8.07E-04,,1.2825,-7.93E-06
1.296,-2.83E-04,,1.296,4.47E-07
1.3095,1.08E-04,,1.3095,6.95E-06
1.323,3.44E-04,,1.323,1.10E-05
1.3365,4.27E-04,,1.3365,1.26E-05
1.35,3.77E-04,,1.35,1.23E-05
1.3635,2.55E-04,,1.3635,1.09E-05
1.377,1.15E-04,,1.377,9.05E-06
1.3905,-5.81E-06,,1.3905,7.12E-06
1.404,-1.00E-04,,1.404,5.34E-06
1.4175,-1.83E-04,,1.4175,3.77E-06
1.431,-2.61E-04,,1.431,2.35E-06
1.4445,-3.21E-04,,1.4445,1.28E-06
1.458,-3.50E-04,,1.458,8.76E-07
1.4715,-3.35E-04,,1.4715,1.37E-06
1.485,-2.65E-04,,1.485,2.73E-06
1.4985,-1.34E-04,,1.4985,4.72E-06
1.512,4.57E-05,,1.512,7.14E-06
1.5255,2.37E-04,,1.5255,9.67E-06
1.539,4.25E-04,,1.539,1.21E-05
1.5525,5.98E-04,,1.5525,1.47E-05
1.566,7.15E-04,,1.566,1.63E-05
1.5795,6.93E-04,,1.5795,1.56E-05
1.593,5.00E-04,,1.593,1.17E-05
1.6065,1.57E-04,,1.6065,5.02E-06
1.62,-5.97E-17,,1.62,-3.81E-07
1.6335,-4.54E-04,,1.6335,-9.69E-06
