Time (s),Average
1.35E-02,-1.48E-05
2.70E-02,-1.94E-05
4.05E-02,-3.98E-06
5.40E-02,2.19E-05
6.75E-02,4.42E-05
8.10E-02,6.23E-05
9.45E-02,6.85E-05
0.108,6.44E-05
0.1215,5.25E-05
0.135,3.46E-05
0.1485,1.37E-05
0.162,-9.33E-06
0.1755,-3.18E-05
0.189,-5.42E-05
0.2025,-7.48E-05
0.216,-9.31E-05
0.2295,-1.07E-04
0.243,-1.16E-04
0.2565,-1.20E-04
0.27,-1.21E-04
0.2835,-1.20E-04
0.297,-1.20E-04
0.3105,-1.22E-04
0.324,-1.30E-04
0.3375,-1.42E-04
0.351,-1.59E-04
0.3645,-1.75E-04
0.378,-1.88E-04
0.3915,-1.95E-04
0.405,-1.95E-04
0.4185,-1.88E-04
0.432,-1.74E-04
0.4455,-1.58E-04
0.459,-1.40E-04
0.4725,-1.25E-04
0.486,-1.15E-04
0.4995,-1.09E-04
0.513,-1.06E-04
0.5265,-1.08E-04
0.54,-1.13E-04
0.5535,-1.18E-04
0.567,-1.23E-04
0.5805,-1.28E-04
0.594,-1.33E-04
0.6075,-1.37E-04
0.621,-1.40E-04
0.6345,-1.43E-04
0.648,-1.43E-04
0.6615,-1.42E-04
0.675,-1.36E-04
0.6885,-1.26E-04
0.702,-1.11E-04
0.7155,-9.15E-05
0.729,-6.93E-05
0.7425,-4.66E-05
0.756,-2.37E-05
0.7695,-4.69E-06
0.783,7.44E-06
0.7965,1.07E-05
0.81,-2.14E-08
0.8235,-1.49E-05
0.837,-1.94E-05
0.8505,-4.02E-06
0.864,2.19E-05
0.8775,4.42E-05
0.891,6.23E-05
0.9045,6.85E-05
0.918,6.44E-05
0.9315,5.25E-05
0.945,3.46E-05
0.9585,1.37E-05
0.972,-9.32E-06
0.9855,-3.18E-05
0.999,-5.42E-05
1.0125,-7.47E-05
1.026,-9.30E-05
1.0395,-1.07E-04
1.053,-1.16E-04
1.0665,-1.20E-04
1.08,-1.21E-04
1.0935,-1.20E-04
1.107,-1.20E-04
1.1205,-1.22E-04
1.134,-1.30E-04
1.1475,-1.42E-04
1.161,-1.59E-04
1.1745,-1.75E-04
1.188,-1.88E-04
1.2015,-1.95E-04
1.215,-1.95E-04
1.2285,-1.88E-04
1.242,-1.74E-04
1.2555,-1.58E-04
1.269,-1.40E-04
1.2825,-1.25E-04
1.296,-1.15E-04
1.3095,-1.09E-04
1.323,-1.06E-04
1.3365,-1.08E-04
1.35,-1.13E-04
1.3635,-1.18E-04
1.377,-1.23E-04
1.3905,-1.28E-04
1.404,-1.33E-04
1.4175,-1.37E-04
1.431,-1.40E-04
1.4445,-1.43E-04
1.458,-1.43E-04
1.4715,-1.42E-04
1.485,-1.36E-04
1.4985,-1.26E-04
1.512,-1.11E-04
1.5255,-9.15E-05
1.539,-6.93E-05
1.5525,-4.66E-05
1.566,-2.37E-05
1.5795,-4.68E-06
1.593,7.45E-06
1.6065,1.07E-05
1.62,-1.57E-08
1.6335,-1.49E-05
1.647,-1.94E-05
1.6605,-4.01E-06
1.674,2.19E-05
1.6875,4.42E-05
1.701,6.23E-05
1.7145,6.85E-05
1.728,6.44E-05
1.7415,5.25E-05
1.755,3.46E-05
1.7685,1.37E-05
1.782,-9.31E-06
1.7955,-3.18E-05
1.809,-5.41E-05
1.8225,-7.47E-05
1.836,-9.30E-05
1.8495,-1.07E-04
1.863,-1.16E-04
1.8765,-1.20E-04
1.89,-1.21E-04
1.9035,-1.20E-04
1.917,-1.20E-04
1.9305,-1.22E-04
1.944,-1.30E-04
1.9575,-1.42E-04
1.971,-1.59E-04
1.9845,-1.75E-04
1.998,-1.88E-04
2.0115,-1.95E-04
2.025,-1.95E-04
2.0385,-1.87E-04
2.052,-1.74E-04
2.0655,-1.58E-04
2.079,-1.39E-04
2.0925,-1.25E-04
2.106,-1.15E-04
2.1195,-1.09E-04
2.133,-1.06E-04
2.1465,-1.08E-04
2.16,-1.13E-04
2.1735,-1.18E-04
2.187,-1.23E-04
2.2005,-1.28E-04
2.214,-1.33E-04
2.2275,-1.37E-04
2.241,-1.40E-04
2.2545,-1.42E-04
2.268,-1.43E-04
2.2815,-1.42E-04
2.295,-1.36E-04
2.3085,-1.26E-04
2.322,-1.11E-04
2.3355,-9.15E-05
2.349,-6.93E-05
2.3625,-4.66E-05
2.376,-2.37E-05
2.3895,-4.67E-06
2.403,7.46E-06
2.4165,1.07E-05
2.43,-8.45E-09
2.4435,-1.48E-05
2.457,-1.94E-05
2.4705,-4.00E-06
2.484,2.19E-05
2.4975,4.42E-05
2.511,6.23E-05
2.5245,6.85E-05
2.538,6.44E-05
2.5515,5.25E-05
2.565,3.46E-05
2.5785,1.37E-05
2.592,-9.28E-06
2.6055,-3.18E-05
2.619,-5.41E-05
2.6325,-7.47E-05
2.646,-9.30E-05
2.6595,-1.07E-04
2.673,-1.16E-04
2.6865,-1.20E-04
2.7,-1.21E-04
2.7135,-1.20E-04
2.727,-1.20E-04
2.7405,-1.22E-04
2.754,-1.30E-04
2.7675,-1.42E-04
2.781,-1.59E-04
2.7945,-1.75E-04
2.808,-1.88E-04
2.8215,-1.95E-04
2.835,-1.95E-04
2.8485,-1.87E-04
2.862,-1.74E-04
2.8755,-1.58E-04
2.889,-1.39E-04
2.9025,-1.25E-04
2.916,-1.15E-04
2.9295,-1.09E-04
2.943,-1.06E-04
2.9565,-1.08E-04
2.97,-1.13E-04
2.9835,-1.18E-04
2.997,-1.23E-04
3.0105,-1.28E-04
3.024,-1.33E-04
3.0375,-1.37E-04
3.051,-1.40E-04
3.0645,-1.42E-04
3.078,-1.43E-04
3.0915,-1.42E-04
3.105,-1.36E-04
3.1185,-1.26E-04
3.132,-1.11E-04
3.1455,-9.15E-05
3.159,-6.93E-05
3.1725,-4.66E-05
3.186,-2.37E-05
3.1995,-4.67E-06
3.213,7.46E-06
3.2265,1.07E-05
3.24,-3.43E-09
3.2535,-1.48E-05
3.267,-1.94E-05
3.2805,-4.00E-06
3.294,2.19E-05
3.3075,4.42E-05
3.321,6.23E-05
3.3345,6.85E-05
3.348,6.44E-05
3.3615,5.25E-05
3.375,3.46E-05
3.3885,1.37E-05
3.402,-9.28E-06
3.4155,-3.18E-05
3.429,-5.41E-05
3.4425,-7.47E-05
3.456,-9.30E-05
3.4695,-1.07E-04
3.483,-1.16E-04
3.4965,-1.20E-04
3.51,-1.21E-04
3.5235,-1.20E-04
3.537,-1.20E-04
3.5505,-1.22E-04
3.564,-1.30E-04
3.5775,-1.42E-04
3.591,-1.59E-04
3.6045,-1.75E-04
3.618,-1.88E-04
3.6315,-1.95E-04
3.645,-1.95E-04
3.6585,-1.87E-04
3.672,-1.74E-04
3.6855,-1.58E-04
3.699,-1.39E-04
3.7125,-1.25E-04
3.726,-1.15E-04
3.7395,-1.09E-04
3.753,-1.06E-04
3.7665,-1.08E-04
3.78,-1.13E-04
3.7935,-1.18E-04
3.807,-1.23E-04
3.8205,-1.28E-04
3.834,-1.33E-04
3.8475,-1.37E-04
3.861,-1.40E-04
3.8745,-1.42E-04
3.888,-1.43E-04
3.9015,-1.42E-04
3.915,-1.36E-04
3.9285,-1.26E-04
3.942,-1.11E-04
3.9555,-9.14E-05
3.969,-6.93E-05
3.9825,-4.66E-05
3.996,-2.37E-05
4.0095,-4.67E-06
4.023,7.46E-06
4.0365,1.07E-05
